Año,Trimestre,Provincia,Banda ancha fija,key,Periodo
2022,3,Buenos Aires,4715469,2022_3,Jul-Sept 2022
2022,3,Capital Federal,1545534,2022_3,Jul-Sept 2022
2022,3,Catamarca,70292,2022_3,Jul-Sept 2022
2022,3,Chaco,144141,2022_3,Jul-Sept 2022
2022,3,Chubut,164874,2022_3,Jul-Sept 2022
2022,3,Córdoba,1038600,2022_3,Jul-Sept 2022
2022,3,Corrientes,144842,2022_3,Jul-Sept 2022
2022,3,Entre Ríos,268937,2022_3,Jul-Sept 2022
2022,3,Formosa,68537,2022_3,Jul-Sept 2022
2022,3,Jujuy,118823,2022_3,Jul-Sept 2022
2022,3,La Pampa,115921,2022_3,Jul-Sept 2022
2022,3,La Rioja,86860,2022_3,Jul-Sept 2022
2022,3,Mendoza,288746,2022_3,Jul-Sept 2022
2022,3,Misiones,182157,2022_3,Jul-Sept 2022
2022,3,Neuquén,162693,2022_3,Jul-Sept 2022
2022,3,Río Negro,160010,2022_3,Jul-Sept 2022
2022,3,Salta,204536,2022_3,Jul-Sept 2022
2022,3,San Juan,103118,2022_3,Jul-Sept 2022
2022,3,San Luis,121888,2022_3,Jul-Sept 2022
2022,3,Santa Cruz,49312,2022_3,Jul-Sept 2022
2022,3,Santa Fe,887700,2022_3,Jul-Sept 2022
2022,3,Santiago Del Estero,119030,2022_3,Jul-Sept 2022
2022,3,Tierra Del Fuego,53584,2022_3,Jul-Sept 2022
2022,3,Tucumán,263087,2022_3,Jul-Sept 2022
2022,2,Buenos Aires,4660984,2022_2,Abr-Jun 2022
2022,2,Capital Federal,1534626,2022_2,Abr-Jun 2022
2022,2,Catamarca,67007,2022_2,Abr-Jun 2022
2022,2,Chaco,143559,2022_2,Abr-Jun 2022
2022,2,Chubut,161901,2022_2,Abr-Jun 2022
2022,2,Córdoba,1026367,2022_2,Abr-Jun 2022
2022,2,Corrientes,144993,2022_2,Abr-Jun 2022
2022,2,Entre Ríos,269330,2022_2,Abr-Jun 2022
2022,2,Formosa,67881,2022_2,Abr-Jun 2022
2022,2,Jujuy,115314,2022_2,Abr-Jun 2022
2022,2,La Pampa,111356,2022_2,Abr-Jun 2022
2022,2,La Rioja,86026,2022_2,Abr-Jun 2022
2022,2,Mendoza,278785,2022_2,Abr-Jun 2022
2022,2,Misiones,178813,2022_2,Abr-Jun 2022
2022,2,Neuquén,161500,2022_2,Abr-Jun 2022
2022,2,Río Negro,159216,2022_2,Abr-Jun 2022
2022,2,Salta,203172,2022_2,Abr-Jun 2022
2022,2,San Juan,100126,2022_2,Abr-Jun 2022
2022,2,San Luis,121559,2022_2,Abr-Jun 2022
2022,2,Santa Cruz,48987,2022_2,Abr-Jun 2022
2022,2,Santa Fe,878749,2022_2,Abr-Jun 2022
2022,2,Santiago Del Estero,118042,2022_2,Abr-Jun 2022
2022,2,Tierra Del Fuego,53458,2022_2,Abr-Jun 2022
2022,2,Tucumán,254497,2022_2,Abr-Jun 2022
2022,1,Buenos Aires,4549131,2022_1,Ene-Mar 2022
2022,1,Capital Federal,1415378,2022_1,Ene-Mar 2022
